,oversampling_ratio,repeat0,repeat1,repeat2,repeat3,repeat4,repeat5,repeat6,repeat7,repeat8,repeat9,repeat10,repeat11,repeat12,repeat13,repeat14,repeat15,repeat16,repeat17,repeat18,repeat19,repeat20,repeat21,repeat22,repeat23,repeat24,repeat25,repeat26,repeat27,repeat28,repeat29,repeat30,repeat31,repeat32,repeat33,repeat34,repeat35,repeat36,repeat37,repeat38,repeat39,repeat40,repeat41,repeat42,repeat43,repeat44,repeat45,repeat46,repeat47,repeat48,repeat49
0,0.0009765625,0.0036531644873321056,0.007570310495793819,0.004626953974366188,0.003957328386604786,0.004187465645372868,0.010321920737624168,0.011874276213347912,0.004049956798553467,0.003991531673818827,0.006595171056687832,0.014994361437857151,0.005295887589454651,0.008726818487048149,0.005389354191720486,0.007900089025497437,0.0013169876765459776,0.007249890360981226,0.005232808645814657,0.003484769258648157,0.0069055818021297455,0.007594837341457605,0.0036502163857221603,0.010683304630219936,0.004583168309181929,0.0012655060272663832,0.008822648786008358,0.006283596623688936,0.0051055909134447575,0.008901604451239109,0.003016802715137601,0.004701096098870039,0.004849608521908522,0.0029999064281582832,0.0059717134572565556,0.005865246523171663,0.0024457131512463093,0.007658104877918959,0.00430891802534461,0.010804586112499237,0.00509392935782671,0.003748253220692277,0.01129479706287384,0.010959692299365997,0.012435098178684711,0.00031344557646661997,0.008829163387417793,0.009131654165685177,0.008823535405099392,0.01499252300709486,0.007595662958920002
1,0.00390625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.0087890625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.015625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.024414062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.03515625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0.047851562,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0.0625,0.0018450700445100665,0.005709090735763311,0.0009507419890724123,0.011335223913192749,0.002756450790911913,0.003162369830533862,0.001618858426809311,0.004075626842677593,0.0034273103810846806,0.0009167788084596395,0.0023936238139867783,0.005380913615226746,0.0008833571919240057,0.003646231023594737,0.002784176729619503,0.0026289131492376328,0.0031930997502058744,0.0025769819039851427,0.007031032349914312,0.001642953953705728,0.003461857559159398,0.003461118321865797,0.003739258972927928,0.0033046805765479803,0.0031639058142900467,0.005052556749433279,0.004164943937212229,0.005514867138117552,0.004847018048167229,0.0030773847829550505,0.007893445901572704,0.0036062111612409353,0.0024555798154324293,0.002542502712458372,0.005671309772878885,0.0021943480242043734,0.0008014652412384748,0.0031425151973962784,0.005076888017356396,0.0035240473225712776,0.004652244038879871,0.005113938823342323,0.003010380081832409,0.008713344112038612,0.004247591365128756,0.0043913074769079685,0.006075212266296148,0.0033607406076043844,0.001611556624993682,0.009021377190947533
8,0.07910156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0.09765625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0.11816406,0.0014085175935178995,0.006005357950925827,0.0034675048664212227,0.004073058255016804,0.0038930214941501617,0.0019498295150697231,0.001618064008653164,0.0033412943594157696,0.006196255795657635,0.0037318894173949957,0.0006739698001183569,0.0042829131707549095,0.003636750625446439,0.0026050019077956676,0.0003996171581093222,0.002052082447335124,0.0010409922106191516,0.0030348836444318295,0.003294570604339242,0.0017967348685488105,0.003470324445515871,0.004092440474778414,0.004053477663546801,0.003671826794743538,0.005675927270203829,0.007284201681613922,0.0061426470056176186,0.005786831956356764,0.0008745375089347363,0.006303309928625822,0.004407355096191168,0.005054498091340065,0.004109911620616913,0.006604112684726715,0.004373890347778797,0.005200350657105446,0.0038804328069090843,0.004722708836197853,0.008564148098230362,0.0040226164273917675,0.005591656547039747,0.0047045922838151455,0.007969096302986145,0.0022584632970392704,0.0008153351373039186,0.0007267154287546873,0.0027015558443963528,0.0027391044422984123,0.004178289324045181,0.004050597082823515
11,0.140625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,0.16503906,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,0.19140625,0.0015833023935556412,0.004804754164069891,0.0027719249483197927,0.003863044548779726,0.00550434784963727,0.0014690596144646406,0.002781013958156109,0.0037471551913768053,0.004015595652163029,0.00447554886341095,0.003382100025191903,0.002224246971309185,0.0025980412028729916,0.006371481344103813,0.0023669300135225058,0.0024738810025155544,0.005043075419962406,0.0027043402660638094,0.0015138094313442707,0.00415051868185401,0.0027563627809286118,0.004498721100389957,0.009945886209607124,0.0028696786612272263,0.003383294213563204,0.001834614435210824,0.0034610263537615538,0.0036934318486601114,0.0024447443429380655,0.005794968456029892,0.003314848756417632,0.007185984868556261,0.00278643611818552,0.002559439744800329,0.007455445360392332,0.00048594502732157707,0.00229510641656816,0.004121976904571056,0.001284421538002789,0.0010755788534879684,0.0016219712560996413,0.004432983230799437,0.0026887429412454367,0.0012050275690853596,0.0023402664810419083,0.0014605813194066286,0.007166472263634205,0.0021234340965747833,0.0015945815248414874,0.00436033122241497
14,0.21972656,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,0.25,0.0011097185779362917,0.0027140146121382713,0.003895640140399337,0.0020272908732295036,0.006593143101781607,0.00186666171066463,0.004381360486149788,0.00216517667286098,0.0004250539350323379,0.004807572346180677,0.004957074299454689,0.008102183230221272,0.003464763518422842,0.005768418312072754,0.005821940489113331,0.005247415509074926,0.0044752489775419235,0.005680419970303774,0.0023037139326334,0.003789818612858653,0.004830918274819851,0.0016933499136939645,0.008286502212285995,0.0001758232683641836,0.003002437064424157,0.005487912334501743,0.005004797130823135,0.005515665281563997,0.007527696434408426,0.004429604392498732,0.004498988855630159,0.0020347002428025007,0.0017746171215549111,0.006385209038853645,0.005475115496665239,0.004121444188058376,0.0024684432428330183,0.0019349645590409636,0.003295635338872671,0.0020023961551487446,0.0036661289632320404,0.0010416723089292645,0.002302688779309392,0.0008508595637977123,0.002286858856678009,0.0014158382546156645,0.0030639744363725185,0.004117071628570557,0.0027663609944283962,0.0021689608693122864
16,0.28222656,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,0.31640625,0.003691047430038452,0.002913280390202999,0.0010062362998723984,0.0029635163955390453,0.003080731024965644,0.002557567786425352,0.0036333890166133642,0.0015331010799854994,0.0010294478852301836,0.003439250634983182,0.0015091021778061986,0.0025544550735503435,0.0031336962711066008,0.004878693260252476,0.0034815745893865824,0.004247898701578379,0.004511431325227022,0.0050003742799162865,0.001117822714149952,0.0009402239811606705,0.00612644711509347,0.006561975926160812,0.0008755231974646449,0.003581032855436206,0.006290605291724205,0.0016117703635245562,0.0025977767072618008,0.004299277905374765,0.0035012352745980024,0.004187076818197966,0.005523173604160547,0.0005298363394103944,0.004632127471268177,0.0016373074613511562,0.0030187300872057676,0.002384151564911008,0.006689163856208324,0.0016646413132548332,0.0011564278975129128,0.004544161260128021,0.0016130354488268495,0.0027703612577170134,0.004856572486460209,0.00494746770709753,0.0031595330219715834,0.0019407141953706741,0.0020268855150789022,0.005254017189145088,0.0023696967400610447,0.0012586533557623625
18,0.35253906,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,0.390625,0.0020903926342725754,0.001077189459465444,0.0026080685202032328,0.0025442703627049923,0.0012182220816612244,0.002463720506057143,0.006657509598881006,0.0005847503780387342,0.004560643341392279,0.004411920439451933,0.0017576923128217459,0.0026145591400563717,0.004505922552198172,0.0039316522888839245,0.002011731034144759,0.00129898136947304,0.0007226351881399751,0.005433162674307823,0.001148693379946053,0.005257727112621069,0.00402012187987566,0.0024456046521663666,0.002034729579463601,0.0005937932291999459,0.002417695475742221,0.0019154767505824566,0.004018357954919338,0.0038424190133810043,0.0020769131369888783,0.0008790080901235342,0.002672367263585329,0.006297110114246607,0.0018179822945967317,0.001858275500126183,0.003797551617026329,0.002522740513086319,0.004763116128742695,0.0038028249982744455,0.001293902867473662,0.004547477699816227,0.0009794965153560042,0.004241517279297113,0.003518523881211877,0.0021445383317768574,0.007736594881862402,0.005977055057883263,0.004939001519232988,0.005959672387689352,0.0021434666123241186,0.0056494902819395065
20,0.43066406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,0.47265625,0.0034529019612818956,0.0032696896232664585,0.0036601671017706394,0.0011029700981453061,0.0025721914134919643,0.0031075619626790285,0.006975934375077486,0.004197062458842993,0.003012080444023013,0.003924073651432991,0.0030065772589296103,0.003939785994589329,0.0034787431359291077,0.00430923979729414,0.0006563162314705551,0.001140617299824953,0.0052781314589083195,0.002630643779411912,0.0036415227223187685,0.0012728607980534434,0.0037207717541605234,0.0035137501545250416,0.0012836046516895294,0.00019568437710404396,0.002155677182599902,0.003142948029562831,0.0014051542384549975,0.00343581335619092,0.0021124687045812607,0.004849888850003481,0.008505387231707573,0.0009216105099767447,0.0014871108578518033,0.0025667466688901186,0.007904035970568657,0.0021461418364197016,0.0016588394064456224,0.0005507460446096957,0.0020653854589909315,0.001952705904841423,0.0022472438868135214,0.005799299106001854,0.002367983106523752,0.006679083686321974,0.0037730527110397816,0.0023809971753507853,0.0037691183388233185,0.002102239988744259,0.0032317391596734524,0.0020474267657846212
22,0.51660156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,0.5625,0.0031212372705340385,0.0035373198334127665,0.001935683423653245,0.0034758688416332006,0.005685595795512199,0.005032298155128956,0.0029683425091207027,0.0008775468450039625,0.0023046969436109066,0.0014148429036140442,0.004382940474897623,0.002019006758928299,0.0032858657650649548,0.004335162229835987,0.0024909735657274723,0.004111505579203367,0.00359778362326324,0.006405482068657875,0.001571071450598538,0.0019530464196577668,0.004232903476804495,0.0013813136611133814,0.003714640624821186,0.0012771479086950421,0.0034585886169224977,0.002960039535537362,0.005742933135479689,0.0021904222667217255,0.004910040646791458,0.0027483936864882708,0.004452513996511698,0.003731090808287263,0.0018773131305351853,0.0021550199016928673,0.0026162315625697374,0.0016096768667921424,0.0015718996291980147,0.003174862591549754,0.0025829931255429983,0.0038751736283302307,0.0014400952495634556,0.0020173280499875546,0.006016178987920284,0.0002407458086963743,0.002947739092633128,0.001941366703249514,0.005681790877133608,0.002507395576685667,0.0017099292017519474,0.0007751971716061234
24,0.61035156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,0.66015625,0.0027992811519652605,0.005441549699753523,0.004217144567519426,0.0043204170651733875,0.0026443584356456995,0.0024497692938894033,0.003179989755153656,0.004610105417668819,0.0015991725958883762,0.006823145784437656,0.0030593147967010736,0.0030758746434003115,0.0018056324915960431,0.0022660179529339075,0.0013875581789761782,0.0035130418837070465,0.0036249891854822636,0.0016594341723248363,0.0030805920250713825,0.0013931746361777186,0.0033691178541630507,0.0026604451704770327,0.0009734252816997468,0.0030286237597465515,0.002408146858215332,0.00485645467415452,0.002618219703435898,0.004832220263779163,0.0031279486138373613,0.0017004915280267596,0.005373108666390181,0.003604929894208908,0.0012702581007033587,0.0019394820556044579,0.0026176562532782555,0.002995576709508896,0.001405983348377049,0.0031314033549278975,0.003926889039576054,0.003229090478271246,0.0012105220230296254,0.000914775999262929,0.0017228155629709363,0.002426896942779422,0.002817514119669795,0.0029958016239106655,0.002972639398649335,0.0016348314238712192,0.0010721177095547318,0.0007257762481458485
