,oversampling_ratio,repeat0,repeat1,repeat2,repeat3,repeat4,repeat5,repeat6,repeat7,repeat8,repeat9,repeat10,repeat11,repeat12,repeat13,repeat14,repeat15,repeat16,repeat17,repeat18,repeat19,repeat20,repeat21,repeat22,repeat23,repeat24,repeat25,repeat26,repeat27,repeat28,repeat29,repeat30,repeat31,repeat32,repeat33,repeat34,repeat35,repeat36,repeat37,repeat38,repeat39,repeat40,repeat41,repeat42,repeat43,repeat44,repeat45,repeat46,repeat47,repeat48,repeat49
0,0.0009765625,0.006347273476421833,0.006779308896511793,0.008703001774847507,0.008758638985455036,0.004374324809759855,0.006510731298476458,0.008609605021774769,0.004562521819025278,0.004724288824945688,0.004081138409674168,0.014038712717592716,0.007360052317380905,0.0037963518407195807,0.004546917509287596,0.005204245448112488,0.009050971828401089,0.009595590643584728,0.0012728053843602538,0.008609885349869728,0.006531434133648872,0.00302943866699934,0.008279891684651375,0.0039968653582036495,0.003056618385016918,0.008466574363410473,0.014917366206645966,0.011844074353575706,0.004995887633413076,0.0022065986413508654,0.008139499463140965,0.010117126628756523,0.004058690741658211,0.008369417861104012,0.004609246738255024,0.005613149143755436,0.015067292377352715,0.014276735484600067,0.007025028113275766,0.010218052193522453,7.540371007053182e-05,0.002829022705554962,0.003854654263705015,0.00695651164278388,0.006970316171646118,0.006972373928874731,0.007504509761929512,0.003510726150125265,0.003773204982280731,0.010074525140225887,0.0059667532332241535
1,0.00390625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.0087890625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.015625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.024414062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.03515625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0.047851562,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0.0625,0.004852902144193649,0.0021661426872015,0.0020701622124761343,0.0034568593837320805,0.0036383704282343388,0.007803766988217831,0.003415666287764907,0.005272520240396261,0.002495142398402095,0.006047941744327545,0.004015826620161533,0.005817978642880917,0.005570168606936932,0.004180626478046179,0.002010563388466835,0.0028496235609054565,0.0012987294467166066,0.00375120947137475,0.0025562711525708437,0.0018112268298864365,0.006170264445245266,0.0036622192710638046,0.0022106280084699392,0.0019098726334050298,0.0021867521572858095,0.007149774581193924,0.004439374897629023,0.004132986068725586,0.0018658568151295185,0.0012886853655800223,0.004571218974888325,0.003831106936559081,0.0008080197731032968,0.004608022049069405,0.003790484042838216,0.0057272594422101974,0.004971830639988184,0.0024545935448259115,0.002513761864975095,0.0010357181308791041,0.002920758444815874,0.0037996929604560137,0.004805771633982658,0.0031560605857521296,0.0010460723424330354,0.0028143764939159155,0.0070268139243125916,0.0017523383721709251,0.0036774100735783577,0.006094688083976507
8,0.07910156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0.09765625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
