,oversampling_ratio,repeat0,repeat1,repeat2,repeat3,repeat4,repeat5,repeat6,repeat7,repeat8,repeat9,repeat10,repeat11,repeat12,repeat13,repeat14,repeat15,repeat16,repeat17,repeat18,repeat19,repeat20,repeat21,repeat22,repeat23,repeat24,repeat25,repeat26,repeat27,repeat28,repeat29,repeat30,repeat31,repeat32,repeat33,repeat34,repeat35,repeat36,repeat37,repeat38,repeat39,repeat40,repeat41,repeat42,repeat43,repeat44,repeat45,repeat46,repeat47,repeat48,repeat49
0,0.0009765625,0.024463117122650146,0.028495734557509422,0.023467902094125748,0.02308553457260132,0.014582720585167408,0.018669605255126953,0.017448225989937782,0.02152312360703945,0.027793917804956436,0.0223420187830925,0.02672051452100277,0.018754281103610992,0.02548055909574032,0.0164263267070055,0.02121848426759243,0.022938674315810204,0.040532637387514114,0.018712248653173447,0.024218356236815453,0.020862599834799767,0.03290044888854027,0.018764855340123177,0.01901380531489849,0.017308944836258888,0.030559640377759933,0.022304045036435127,0.03100947104394436,0.01688469387590885,0.02469075843691826,0.018611233681440353,0.020171837881207466,0.026597801595926285,0.01706731505692005,0.026866545900702477,0.03716817870736122,0.016209011897444725,0.022989163175225258,0.023929772898554802,0.018771084025502205,0.028816495090723038,0.021501142531633377,0.013530144467949867,0.012725994922220707,0.02366473898291588,0.031069932505488396,0.013956562615931034,0.02703533135354519,0.01515031885355711,0.030294815078377724,0.017904214560985565
1,0.00390625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.0087890625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.015625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.024414062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.03515625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0.047851562,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0.0625,0.033497657626867294,0.03555479645729065,0.034098003059625626,0.043974995613098145,0.04289860278367996,0.03949042037129402,0.03702903911471367,0.042675238102674484,0.04253073036670685,0.04671692103147507,0.03656945005059242,0.03752259537577629,0.044552501291036606,0.04350205510854721,0.03683317452669144,0.04362846538424492,0.04087517410516739,0.03483583405613899,0.034856975078582764,0.0429520420730114,0.041301727294921875,0.03194250538945198,0.03942467272281647,0.03499933332204819,0.0379875972867012,0.042105793952941895,0.04158884286880493,0.03738071396946907,0.04592762887477875,0.023934965953230858,0.048116348683834076,0.0391896553337574,0.03172270581126213,0.03635837510228157,0.044655583798885345,0.04052082821726799,0.03722492232918739,0.038789551705121994,0.04037237539887428,0.039405424147844315,0.04098736494779587,0.0423295833170414,0.03790700435638428,0.039317816495895386,0.04094177111983299,0.03958906978368759,0.03238978981971741,,,
8,0.07910156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0.09765625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0.11816406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,0.140625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,0.16503906,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
