,oversampling_ratio,repeat0,repeat1,repeat2,repeat3,repeat4,repeat5,repeat6,repeat7,repeat8,repeat9,repeat10,repeat11,repeat12,repeat13,repeat14,repeat15,repeat16,repeat17,repeat18,repeat19,repeat20,repeat21,repeat22,repeat23,repeat24,repeat25,repeat26,repeat27,repeat28,repeat29,repeat30,repeat31,repeat32,repeat33,repeat34,repeat35,repeat36,repeat37,repeat38,repeat39,repeat40,repeat41,repeat42,repeat43,repeat44,repeat45,repeat46,repeat47,repeat48,repeat49
0,0.0009765625,0.009284445084631443,0.002853079466149211,0.004605589434504509,0.011812793090939522,0.009404552169144154,0.006280402187258005,0.004847609903663397,0.009560671634972095,0.010029618628323078,0.005692376755177975,0.007403901312500238,0.012441889382898808,0.010721310041844845,0.004345200955867767,0.012446444481611252,0.005748039111495018,0.01243250910192728,0.006532900966703892,0.0010024613002315164,0.009713600389659405,0.011240330524742603,0.0037241533864289522,0.005567635875195265,0.0022351534571498632,0.008129192516207695,0.011450705118477345,0.004609349183738232,0.004235518164932728,0.008364034816622734,0.005117091815918684,0.011298938654363155,0.001750027877278626,0.007242880761623383,0.015191380865871906,0.00819311197847128,0.004127206280827522,0.0023260561283677816,0.008385779336094856,0.004423816688358784,0.002713373862206936,0.011423326097428799,0.00933096744120121,0.007985204458236694,0.0038110846653580666,0.005565597675740719,0.011167039163410664,0.008554613217711449,0.003460145788267255,0.00486066984012723,0.011850913055241108
1,0.00390625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.0087890625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.015625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.024414062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.03515625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0.047851562,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0.0625,0.0008299974724650383,0.0029523468110710382,0.002674079965800047,0.005216390360146761,0.0025930104311555624,0.0022595159243792295,0.010344301350414753,0.0034148930571973324,0.004773851018399,0.004309896379709244,0.001128957374021411,0.0035116365179419518,0.0062076929025352,0.0005262164049781859,0.0030312100425362587,0.001026842975988984,0.0035001318901777267,0.0008648781222291291,0.007664096541702747,0.002444409066811204,0.006025797221809626,0.00255786394700408,0.0024151455145329237,0.0018451563082635403,0.00406529800966382,0.004379668738692999,0.008564949035644531,0.004080969374626875,0.00201100273989141,0.0024139918386936188,0.002716620685532689,0.0014302352210506797,0.001630241866223514,0.0036842951085418463,0.002933493349701166,0.0020925060380250216,0.0014063975540921092,0.0036937983240932226,0.0021361985709518194,0.00454598618671298,0.002799323759973049,0.0027876715175807476,0.0026999241672456264,0.002736374968662858,0.005534581374377012,0.0031789655331522226,0.005590913351625204,0.007999719120562077,0.003722680965438485,0.004944398533552885
8,0.07910156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0.09765625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0.11816406,0.003997975494712591,0.0016239940887317061,0.0008251868421211839,0.003671768121421337,0.0033727933187037706,0.0010994451586157084,0.002913097385317087,0.0036713925655931234,0.0023733912967145443,0.0031597984489053488,0.00225278502330184,0.0022135560866445303,0.0036800182424485683,0.00374513934366405,0.001959734596312046,0.005834611598402262,0.005130145698785782,0.00605842424556613,0.0028305076994001865,0.003326135454699397,0.004234262276440859,0.0017012404277920723,0.0024139266461133957,0.007617057766765356,0.003905522869899869,0.004822596907615662,0.0034397689159959555,0.005476411897689104,0.003462689695879817,0.003426576731726527,0.0027720846701413393,0.0025643063709139824,0.0012117380974814296,0.0006581913912668824,0.003320221323519945,0.0027586915530264378,0.002840869128704071,0.0029403758235275745,0.0029333927668631077,0.0014716695295646787,0.0018857279792428017,0.0060191829688847065,0.0023111053742468357,0.002807026030495763,0.0018505908083170652,0.0037078659515827894,0.003790727350860834,0.000655332871247083,0.0025473523419350386,0.008524734526872635
11,0.140625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
