,oversampling_ratio,repeat0,repeat1,repeat2,repeat3,repeat4,repeat5,repeat6,repeat7,repeat8,repeat9,repeat10,repeat11,repeat12,repeat13,repeat14,repeat15,repeat16,repeat17,repeat18,repeat19,repeat20,repeat21,repeat22,repeat23,repeat24,repeat25,repeat26,repeat27,repeat28,repeat29,repeat30,repeat31,repeat32,repeat33,repeat34,repeat35,repeat36,repeat37,repeat38,repeat39,repeat40,repeat41,repeat42,repeat43,repeat44,repeat45,repeat46,repeat47,repeat48,repeat49
0,0.0009765625,0.0076975091360509396,0.011933432891964912,0.007420551497489214,0.015172134153544903,0.009155668318271637,0.003863287391141057,0.0050007072277367115,0.007199581246823072,0.007060942705720663,0.017451278865337372,0.003739129053428769,0.009356660768389702,0.004219312686473131,0.008946134708821774,0.0013869571266695857,0.01236640103161335,0.005708156153559685,0.011155939660966396,0.0060254777781665325,0.00948626734316349,0.006094212178140879,0.008737287484109402,0.0036929347552359104,0.005116680637001991,0.004317302722483873,0.005792404059320688,0.013546882197260857,0.006177206058055162,0.010603534989058971,0.005119319539517164,0.003209979273378849,0.006656864657998085,0.009062863886356354,0.004078827332705259,0.001038039568811655,0.001837586984038353,0.007058349903672934,0.0037287166342139244,0.00871251244097948,0.006379626225680113,0.007332065608352423,0.004688211251050234,0.01025482453405857,0.01401929184794426,0.007492054253816605,0.013662111014127731,0.0009645477402955294,0.01502186618745327,0.01188878994435072,0.00863046757876873
1,0.00390625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.0087890625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.015625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.024414062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.03515625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0.047851562,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0.0625,0.0031271728221327066,0.004510354250669479,0.00219433824531734,0.00108573108445853,0.0033367935102432966,0.0027405871078372,0.008385764434933662,0.009649734012782574,0.006202315911650658,0.0025456019211560488,0.0057718330062925816,0.001724918489344418,0.002682782243937254,0.0032858604099601507,0.0076249707490205765,0.0076064071618020535,0.006076393183320761,0.00737744988873601,0.007524783723056316,0.0025360716972500086,0.001741660526022315,0.001721019740216434,0.0027668934781104326,0.00046343906433321536,0.007467507850378752,0.00232013501226902,0.002206931822001934,0.003717026673257351,0.001152715994976461,0.0026612216606736183,0.004422308877110481,0.003995285835117102,0.005602789111435413,0.0017566066235303879,0.004515825770795345,0.0035630809143185616,0.0008558744448237121,0.006335371173918247,0.003316599177196622,0.0037813284434378147,0.0016406035283580422,0.003237777156755328,0.007693486288189888,0.004032128024846315,0.0032334576826542616,0.0021848727483302355,0.00643495237454772,0.0010685021989047527,0.00404942873865366,0.0015124538913369179
8,0.07910156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0.09765625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0.11816406,0.005378137342631817,0.0021751767490059137,0.004777096211910248,0.003734000725671649,0.0023948485031723976,0.007581078913062811,0.001302165910601616,0.004510350525379181,0.002816880587488413,0.0034881688188761473,0.005311841145157814,0.001915892818942666,0.00323973735794425,0.0012713584583252668,0.00416639493778348,0.00277095939964056,0.004274366423487663,0.0030790085438638926,0.004530108533799648,0.0025876828003674746,0.001957331318408251,0.003166582901030779,0.007007427513599396,0.00424174265936017,0.004642727319151163,0.0053990911692380905,0.0040320223197340965,0.0022961266804486513,0.0060560558922588825,0.005664033815264702,0.0021510410588234663,0.0027296387124806643,0.008056377992033958,0.005590282380580902,0.0008229338563978672,0.0047563426196575165,0.002968408865854144,0.005220256745815277,0.002847442403435707,0.005533772520720959,0.0027398518286645412,0.0021311927121132612,0.003411452518776059,0.0029728549998253584,0.0024681203067302704,0.002558545907959342,0.0011433328036218882,0.0021885354071855545,0.0051170154474675655,0.006808505393564701
11,0.140625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,0.16503906,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,0.19140625,0.0024253171868622303,0.0025729057379066944,0.005188081879168749,0.004034590441733599,0.0013603722909465432,0.006365518551319838,0.001045751036144793,0.005655946675688028,0.006141819059848785,0.0019658284727483988,0.006037697661668062,0.003786989953368902,0.006933215074241161,0.0016357236308977008,0.007263112813234329,0.003146687988191843,0.001528491615317762,0.0030343711841851473,0.005310200620442629,0.0024431522469967604,0.0015939014265313745,0.002446983940899372,0.0037835531402379274,0.0022989814169704914,0.0015776033978909254,0.003110255114734173,0.0075470032170414925,0.0038880198262631893,0.0030233159195631742,0.0031906706281006336,0.0009349659085273743,0.006794248707592487,0.0008509716717526317,0.0017909847665578127,0.0023070850875228643,0.004420592449605465,0.001179239246994257,0.0025783174205571413,0.004079409874975681,0.0024258706253021955,0.0038201860152184963,0.0027186593506485224,0.007611487060785294,0.0005803807871416211,0.005152267869561911,0.00042825500713661313,0.0008639731095172465,0.0025320465210825205,0.0011404474498704076,0.003949035424739122
14,0.21972656,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
