,oversampling_ratio,repeat0,repeat1,repeat2,repeat3,repeat4,repeat5,repeat6,repeat7,repeat8,repeat9,repeat10,repeat11,repeat12,repeat13,repeat14,repeat15,repeat16,repeat17,repeat18,repeat19,repeat20,repeat21,repeat22,repeat23,repeat24,repeat25,repeat26,repeat27,repeat28,repeat29,repeat30,repeat31,repeat32,repeat33,repeat34,repeat35,repeat36,repeat37,repeat38,repeat39,repeat40,repeat41,repeat42,repeat43,repeat44,repeat45,repeat46,repeat47,repeat48,repeat49
0,0.0009765625,0.0051727984100580215,0.006262161303311586,0.006328630726784468,0.0009195869788527489,0.001143421046435833,0.0010248374892398715,0.008156695403158665,0.011548404581844807,0.01334555633366108,0.009483231231570244,0.0041815415024757385,0.010709435679018497,0.00803545955568552,0.00852937065064907,0.002867398550733924,0.005588324274867773,0.01698395051062107,0.004666035529226065,0.0074233682826161385,0.005208556540310383,0.009647186845541,0.007820231840014458,0.007521273102611303,0.00965689867734909,0.005024875048547983,0.008948683738708496,0.003579692682251334,0.011171543039381504,0.004990548826754093,0.006272461730986834,0.003690762910991907,0.009144355542957783,0.004093929659575224,0.009082816541194916,0.011415468528866768,0.009133961983025074,0.004280873108655214,0.006261538714170456,0.008316013030707836,0.00487698707729578,0.010194281116127968,0.0025485053192824125,0.0021764892153441906,0.003974835854023695,0.006700365804135799,0.008294712752103806,0.0051927086897194386,0.018695766106247902,0.0003939818707294762,0.011043761856853962
1,0.00390625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.0087890625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.015625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.024414062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.03515625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0.047851562,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0.0625,0.0015680064680054784,0.0024160712491720915,0.00409708172082901,0.006512287072837353,0.003366311313584447,0.0009570192778483033,0.001929158577695489,0.004195604007691145,0.000890837050974369,0.0034612982999533415,0.0032510864548385143,0.003459623549133539,0.007654337678104639,0.004936121869832277,0.0050260270945727825,0.005926432088017464,0.002283358247950673,0.0017204626929014921,0.008564523421227932,0.0032357487361878157,0.00399999413639307,0.0028052201960235834,0.004040131811052561,0.003313233843073249,0.005291846115142107,0.001828690874390304,0.003012084634974599,0.0023068757727742195,0.000780482601840049,0.002945357235148549,0.0013498921180143952,0.0018072501989081502,0.00307342316955328,0.0015257400227710605,0.004383452702313662,0.00494761299341917,0.0015727138379588723,0.0026149789337068796,0.006294876802712679,0.001296229544095695,0.002978516975417733,0.0032007067929953337,0.0015802034176886082,0.0044190422631800175,0.006064428482204676,0.008310661651194096,0.0051939282566308975,0.0032090218737721443,0.0025959559716284275,0.004444272723048925
8,0.07910156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0.09765625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0.11816406,0.00307601154781878,0.007264188025146723,0.0007934273453429341,0.0031315453816205263,0.004505752120167017,0.005994654726237059,0.000979437492787838,0.0008134489180520177,0.0031628962606191635,0.00413071783259511,0.0013620847603306174,0.006491541862487793,0.005344823468476534,0.004370188806205988,0.00411664554849267,0.0033122061286121607,0.0028450775425881147,0.004554257728159428,0.00455594714730978,0.0019213104387745261,0.004848495125770569,0.005782232619822025,0.0015696319751441479,0.0032040788792073727,0.006815077271312475,0.0012814397923648357,0.007133724633604288,0.004629499278962612,0.004181918688118458,0.005566022824496031,0.003944018855690956,0.004118022974580526,0.003901938209310174,0.0015123996417969465,0.0035295283887535334,0.0024098677095025778,0.0022902071941643953,0.002051557647064328,0.0034098043106496334,0.005741543602198362,0.0015440784627571702,0.007686459459364414,0.003154715057462454,0.0010339892469346523,0.001954844919964671,0.0008305156952701509,0.0005548613262362778,0.0025869428645819426,0.004373662173748016,0.0013032613787800074
11,0.140625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,0.16503906,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,0.19140625,0.005685864947736263,0.006721765734255314,0.003909695893526077,0.003743503475561738,0.00570288673043251,0.004020234104245901,0.0032036660704761744,0.0008240994648076594,0.006268886849284172,0.0026569203473627567,0.0029983867425471544,0.004002959001809359,0.0027416509110480547,0.002906240290030837,0.0025782473385334015,0.005033648107200861,0.003058766946196556,0.002993617905303836,0.005860462784767151,0.0040329801850020885,0.005490431096404791,0.0023016012273728848,0.002590825315564871,0.002376226708292961,0.0020211217924952507,0.0012797301169484854,0.003174761077389121,0.005463683512061834,0.008519241586327553,0.0042580002918839455,0.007577571086585522,0.0017306471709161997,0.0012612788705155253,0.007274682633578777,0.006999300792813301,0.0031864966731518507,0.006207429803907871,0.006852731574326754,0.0014823578530922532,0.00333203561604023,0.0006478112773038447,0.003961461130529642,0.002252096077427268,0.0011420329101383686,0.008664477616548538,0.006224792916327715,0.004317520186305046,0.0033265193924307823,0.0067045134492218494,0.002118669915944338
14,0.21972656,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,0.25,0.005288177169859409,0.0024779196828603745,0.0018326168647035956,0.0030046035535633564,0.0034244812559336424,0.0029620437417179346,0.007401961833238602,0.0007805367931723595,0.001246579922735691,0.0020044834818691015,0.006129079032689333,0.0036046309396624565,0.003954287618398666,0.00485209608450532,0.0013698311522603035,0.0013175936182960868,0.0034839119762182236,0.0022400228772312403,0.005944027099758387,0.0020284042693674564,0.001777344848960638,0.003567563137039542,0.0037676775828003883,0.004031715448945761,0.002657255856320262,0.003966653719544411,0.001375533058308065,0.004443880170583725,0.00389148760586977,0.002831424353644252,0.003361535258591175,0.0023931025061756372,0.002883950248360634,0.005270748864859343,0.005076610948890448,0.003989675082266331,0.007750408258289099,0.0006015336839482188,0.0013849696842953563,0.006434164009988308,0.002650085836648941,0.000817280204501003,0.001789134694263339,0.003162235487252474,0.0033854416105896235,0.0035418819170445204,0.0027037940453737974,0.0048427642323076725,0.004235122352838516,0.004481729585677385
16,0.28222656,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
