,oversampling_ratio,repeat0,repeat1,repeat2,repeat3,repeat4,repeat5,repeat6,repeat7,repeat8,repeat9,repeat10,repeat11,repeat12,repeat13,repeat14,repeat15,repeat16,repeat17,repeat18,repeat19,repeat20,repeat21,repeat22,repeat23,repeat24,repeat25,repeat26,repeat27,repeat28,repeat29,repeat30,repeat31,repeat32,repeat33,repeat34,repeat35,repeat36,repeat37,repeat38,repeat39,repeat40,repeat41,repeat42,repeat43,repeat44,repeat45,repeat46,repeat47,repeat48,repeat49
0,0.0009765625,0.0030760113149881363,0.004502558149397373,0.003217978635802865,0.008668041788041592,0.008311203680932522,0.004114700946956873,0.007888037711381912,0.0030224269721657038,0.007346619386225939,0.008338346146047115,0.004219102207571268,0.006312774959951639,0.007883892394602299,0.007123926654458046,0.0075189173221588135,0.008894897997379303,0.010397267527878284,0.007028660271316767,0.0008421949460171163,0.0074226586148142815,0.012704716064035892,0.0048651606775820255,0.006603633984923363,0.003862857585772872,0.011424551717936993,0.010760273784399033,0.005462899338454008,0.006266131065785885,0.006724069360643625,0.0038602822460234165,0.010155102238059044,0.005102804396301508,0.00352609995752573,0.004334987606853247,0.0016682895366102457,0.006241925526410341,0.008980478160083294,0.009200196713209152,0.0012835223460569978,0.004607560113072395,0.008063321001827717,0.0080191595479846,0.007150048390030861,0.002900459337979555,0.0045216381549835205,0.01061329711228609,0.0010279972339048982,0.015912722796201706,0.006335008889436722,0.0039509874768555164
1,0.00390625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.0087890625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.015625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.024414062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.03515625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0.047851562,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0.0625,0.0018321252427995205,0.0059886216185987,0.0031808761414140463,0.0008577648550271988,0.0038163831923156977,0.001190508482977748,0.0016575147164985538,0.0020314708817750216,0.00629747798666358,0.0006720158853568137,0.003275566501542926,0.002220611087977886,0.007955340668559074,0.004731597378849983,0.0026227443013340235,0.004246495198458433,0.0034871019888669252,0.0033099527936428785,0.004068552050739527,0.0030958536081016064,0.003433695062994957,0.0017873458564281464,0.004319739993661642,0.002419076394289732,0.004388661123812199,0.0034595252946019173,0.0037359793204814196,0.006041411776095629,0.0007444400107488036,0.00042997635318897665,0.004595132078975439,0.002391521818935871,0.0037804830353707075,0.0032434642780572176,0.004429880529642105,0.008076530881226063,0.00153654208406806,0.004062270279973745,0.005138566251844168,0.0026250286027789116,0.00490181241184473,0.0019112399313598871,0.004188457503914833,0.002502916380763054,0.0025307205505669117,0.00016030401457101107,0.005014222115278244,0.003410894423723221,0.0018297884380444884,0.0027441217098385096
8,0.07910156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0.09765625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0.11816406,0.0011150367790833116,0.005188049748539925,0.004888633731752634,0.00375259667634964,0.0033135332632809877,0.000504795229062438,0.005726015195250511,0.0002779341011773795,0.007292064838111401,0.0033911599311977625,0.002443508943542838,0.0003844982129521668,0.003573949448764324,0.0031327924225479364,0.007164433598518372,0.005236571654677391,0.002854165155440569,0.003177609061822295,0.004535972606390715,0.0025202054530382156,0.004578351508826017,0.004827090539038181,0.004313591402024031,0.002855093451216817,0.004282251466065645,0.0030105009209364653,0.005477585829794407,0.0057238186709582806,0.004790250211954117,0.0022576902993023396,0.008623003028333187,0.004803583025932312,0.002716377377510071,0.006701537407934666,0.0014953172067180276,0.006475743371993303,0.0022358677815645933,0.0027834577485919,0.004908260423690081,0.004670445341616869,0.0027618238236755133,0.004366770386695862,0.0031743845902383327,0.0046437690034508705,0.005054163280874491,0.0027872896753251553,0.0014566431054845452,0.004050931893289089,0.008813680149614811,0.0011690236860886216
11,0.140625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,0.16503906,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,0.19140625,0.0032010741997510195,0.007238965481519699,0.002988133579492569,0.002595151076093316,0.004456955939531326,0.001321781543083489,0.003053093794733286,0.0032326211221516132,0.0011350845452398062,0.006935392040759325,0.0027264542877674103,0.002724436344578862,0.0064857034012675285,0.003040200099349022,0.004556966945528984,0.0033461577259004116,0.004002231638878584,0.005304694641381502,0.005471313837915659,0.004482695367187262,0.004650565329939127,0.006358541082590818,0.009453237988054752,0.00516430614516139,0.006607274990528822,0.0026332365814596415,0.001966289011761546,0.002090246183797717,0.003019286086782813,0.0029201835859566927,0.007766490802168846,0.004793085623532534,0.002597278216853738,0.0029026137199252844,0.00412584375590086,0.002040552906692028,0.0022249561734497547,0.0027820200193673372,0.004909843672066927,0.0022635087370872498,0.008251060731709003,0.004931982606649399,0.003337967675179243,0.00134728301782161,0.0036899398546665907,0.005080279894173145,0.006081748753786087,0.0034680701792240143,0.002933964366093278,0.004498743452131748
14,0.21972656,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,0.25,0.003982918802648783,0.0038233650848269463,0.003403017995879054,0.004500288516283035,0.0017477645305916667,0.004327625036239624,0.0020312005653977394,0.001102099078707397,0.001606977661140263,0.007813108153641224,0.006549205631017685,0.005795358680188656,0.006283402908593416,0.0014391883742064238,0.0020626287441700697,0.002508108736947179,0.004297661129385233,0.006113712210208178,0.0011388794519007206,0.0025484825018793344,0.0062705581076443195,0.004612162709236145,0.0025709159672260284,0.006921528838574886,0.00575310317799449,0.007058971095830202,0.0017833878519013524,0.004105610307306051,0.003818420460447669,0.005045232828706503,0.0037450208328664303,0.005528217647224665,0.0023885772097855806,0.0008813661406747997,0.006774612236768007,0.0022966894321143627,0.003604685654863715,0.0039360555820167065,0.004453418310731649,0.0015113478293642402,0.004238356836140156,0.00318446708843112,0.0061807576566934586,0.0038333546835929155,0.003845503553748131,0.004262438975274563,0.0031950301490724087,0.002561502158641815,0.005375998560339212,0.0015927943168208003
16,0.28222656,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,0.31640625,0.002267007250338793,0.00411465996876359,0.0029160184785723686,0.004379006568342447,0.003630376420915127,0.007154371123760939,0.0005619226139970124,0.005401366390287876,0.0032594026997685432,0.00142189662437886,0.004976528696715832,0.0007084988174028695,0.0030931972432881594,0.005291532725095749,0.005011270754039288,0.0026699581649154425,0.0008972643408924341,0.004944742191582918,0.008254742249846458,0.002086012391373515,0.0033614777494221926,0.0021466524340212345,0.003166866023093462,0.004535550717264414,0.0006973872659727931,0.0024435787927359343,0.007510963827371597,0.008069093339145184,0.0005743746878579259,0.0038102897815406322,0.002988414140418172,0.0030019094701856375,0.002320339437574148,0.0009408711921423674,0.005730066914111376,0.0033650326076895,0.001687044044956565,0.003850744804367423,0.003182219574227929,0.0028019333258271217,0.005334210116416216,0.006884993985295296,0.0022862667683511972,0.004572655074298382,0.0025259219110012054,0.004219073336571455,0.002927742199972272,0.00399906188249588,0.003169446485117078,0.005052810534834862
