,oversampling_ratio,repeat0,repeat1,repeat2,repeat3,repeat4,repeat5,repeat6,repeat7,repeat8,repeat9,repeat10,repeat11,repeat12,repeat13,repeat14,repeat15,repeat16,repeat17,repeat18,repeat19,repeat20,repeat21,repeat22,repeat23,repeat24,repeat25,repeat26,repeat27,repeat28,repeat29,repeat30,repeat31,repeat32,repeat33,repeat34,repeat35,repeat36,repeat37,repeat38,repeat39,repeat40,repeat41,repeat42,repeat43,repeat44,repeat45,repeat46,repeat47,repeat48,repeat49
0,0.00024414062,0.0006833005463704467,0.0011658637085929513,0.003912429325282574,0.0018048627534881234,0.006488523446023464,0.004270540550351143,0.0022334307432174683,0.004733655601739883,0.001469617011025548,0.0036255919840186834,0.0034320512786507607,0.0032809015829116106,0.0010023444192484021,0.002739262767136097,0.004676501732319593,0.0034037975128740072,0.0030103365425020456,0.0013571179006248713,0.006266204174607992,0.005626811645925045,0.004106101579964161,0.0008837459026835859,0.002417932031676173,0.003656525630503893,0.0013969658175483346,0.006273486185818911,0.005391099955886602,0.0043222480453550816,0.004677229560911655,0.005443221889436245,0.002655630698427558,0.004413313698023558,0.004309645388275385,0.005976618267595768,0.005456692073494196,0.003960683476179838,0.003766712499782443,0.0024955105036497116,0.0032108116429299116,0.0013688058825209737,0.004266184289008379,0.005937627516686916,0.006183008663356304,0.0006039250874891877,0.003246865700930357,0.0015990177635103464,0.006575411185622215,0.004624031949788332,0.0034535666927695274,0.0017954792128875852
1,0.0009765625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.0021972656,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.00390625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.0061035156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.0087890625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0.011962891,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0.015625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0.01977539,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0.024414062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0.029541016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,0.03515625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,0.041259766,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,0.047851562,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,0.05493164,0.002019582549110055,0.003531546564772725,0.0032021270599216223,0.0024152416735887527,0.0021324646659195423,0.002004431327804923,0.0003137173189315945,0.001995811704546213,0.00438540568575263,0.002070429502055049,0.0025925827212631702,0.0024477180559188128,0.0006760603282600641,0.001330383587628603,0.0015166006051003933,0.0030107370112091303,0.00039754912722855806,0.0035185201559215784,0.0021406705491244793,0.002734301844611764,0.0006313900230452418,0.0030556670390069485,9.806592424865812e-05,0.0013338467106223106,0.00041366112418472767,0.0012189511908218265,0.0014642035821452737,0.0006928443326614797,0.0004899976192973554,0.0041768173687160015,0.0011379888746887445,0.0016590080922469497,0.004097949247807264,0.0016946207033470273,0.0015601733466610312,0.001732929958961904,0.0007756032864563167,0.0017326594097539783,0.0020037584472447634,0.004073308315128088,0.00031617615604773164,0.0010640549007803202,0.0013123014941811562,0.0022863103076815605,0.0009829914197325706,0.000886704190634191,0.0011975718662142754,0.002113408874720335,0.0014055880019441247,0.0013285245513543487
15,0.0625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,0.07055664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,0.07910156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,0.088134766,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,0.09765625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,0.107666016,0.0016569747822359204,0.005064858589321375,0.001435130718164146,0.00219043274410069,0.0027506654150784016,0.0019918465986847878,0.0018495953409001231,0.0025203723926097155,0.003134197322651744,0.0017435455229133368,0.003458757186308503,0.0037804320454597473,0.0016756897093728185,0.0007122302777133882,0.0014721862971782684,0.0023820132482796907,0.0017207448836416006,0.0012431391514837742,0.0014524956932291389,0.0024531567469239235,0.001498608966358006,0.0018579540774226189,0.0024370409082621336,0.002881003310903907,0.0034401470329612494,0.0018416831735521555,0.0023916703648865223,0.000949455366935581,0.0015162398340180516,0.0017193600069731474,0.0020129026379436255,0.0024702216032892466,0.0019149456638842821,0.0020264368504285812,0.004499444272369146,0.002671437105163932,0.0037789687048643827,0.0017404049867764115,0.002830378245562315,0.0017293290002271533,0.002285589696839452,0.001007424434646964,0.002797322580590844,0.0030865848530083895,0.002339849015697837,0.003812497016042471,0.001127905328758061,0.0016989726573228836,0.0006499830051325262,0.002593063050881028
21,0.11816406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,0.12915039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,0.140625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,0.15258789,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
